repo,file,clone_class_id,clone_type,test_name,class_size,analise_pyteror
parso,test_diff_parser.py,CC0002,type-2,test_error_dedent_in_function,11,1
parso,test_diff_parser.py,CC0002,type-2,test_fstring_with_error_leaf,11,1
parso,test_diff_parser.py,CC0002,type-2,test_invalid_function,11,1
parso,test_diff_parser.py,CC0002,type-2,test_nested_class,11,1
parso,test_diff_parser.py,CC0002,type-2,test_one_line_function_error_recovery,11,1
parso,test_diff_parser.py,CC0002,type-2,test_one_line_property_error_recovery,11,1
parso,test_diff_parser.py,CC0002,type-2,test_repeating_invalid_indent,11,1
parso,test_diff_parser.py,CC0002,type-2,test_weird_ending,11,1
parso,test_diff_parser.py,CC0003,type-2,test_in_class_movements,2,1
parso,test_diff_parser.py,CC0003,type-2,test_indentation_issue,2,1
parso,test_diff_parser.py,CC0004,type-2,test_differing_docstrings,2,1
parso,test_diff_parser.py,CC0004,type-2,test_docstring_removal,2,1
parso,test_diff_parser.py,CC0005,type-2,test_backslash_insertion,15,1
parso,test_diff_parser.py,CC0005,type-2,test_backslash_issue,15,1
parso,test_diff_parser.py,CC0005,type-2,test_dont_copy_dedents_in_beginning,15,1
parso,test_diff_parser.py,CC0005,type-2,test_error_dedent_in_between,15,1
parso,test_diff_parser.py,CC0005,type-2,test_error_dedent_issues,15,1
parso,test_diff_parser.py,CC0005,type-2,test_function_deletion,15,1
parso,test_diff_parser.py,CC0005,type-2,test_many_nested_ifs,15,1
parso,test_diff_parser.py,CC0005,type-2,test_one_call_in_function_change,15,1
parso,test_diff_parser.py,CC0005,type-2,test_paren_in_strange_position,15,1
parso,test_diff_parser.py,CC0005,type-2,test_paren_with_indentation,15,1
parso,test_diff_parser.py,CC0005,type-2,test_parentheses_before_method,15,1
parso,test_diff_parser.py,CC0005,type-2,test_random_character_insertion,15,1
parso,test_diff_parser.py,CC0005,type-2,test_random_text_insertion,15,1
parso,test_diff_parser.py,CC0005,type-2,test_some_other_indentation_issues,15,1
parso,test_diff_parser.py,CC0005,type-2,test_special_no_newline_ending,15,1
parso,test_diff_parser.py,CC0006,type-2,test_dedent_end_positions,3,1
parso,test_diff_parser.py,CC0006,type-2,test_dont_copy_error_leaves,3,1
parso,test_diff_parser.py,CC0006,type-2,test_wrong_indent_in_def,3,1
parso,test_diff_parser.py,CC0007,type-2,test_import_opening_bracket,3,1
parso,test_diff_parser.py,CC0007,type-2,test_open_bracket_case2,3,1
parso,test_diff_parser.py,CC0007,type-2,test_opening_bracket_at_end,3,1
parso,test_diff_parser.py,CC0008,type-2,test_async_func2,2,1
parso,test_diff_parser.py,CC0008,type-2,test_with_formfeed,2,1
parso,test_old_fast_parser.py,CC0009,type-2,test_additional_indent,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_class_func_if,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_class_with_class_var,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_decorator,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_for,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_func_with_if,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_multi_line_for,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_multi_line_params,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_nested_funcs,10,1
parso,test_old_fast_parser.py,CC0009,type-2,test_strange_parentheses,10,1
parso,test_old_fast_parser.py,CC0010,type-2,test_fake_parentheses,2,1
parso,test_old_fast_parser.py,CC0010,type-2,test_parentheses_in_string,2,1
parso,test_pgen2.py,CC0014,type-2,test_matrix_multiplication_operator,2,1
parso,test_pgen2.py,CC0014,type-2,test_py3_rb,2,1
parso,test_pgen2.py,CC0015,type-2,test_await_expr,2,1
parso,test_pgen2.py,CC0015,type-2,test_parser_idempotency_extended_unpacking,2,1
parso,test_pgen2.py,CC0016.1,type-2,test_annotation_1,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_annotation_2,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_annotation_3,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_annotation_4,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_annotation_5,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_async_for,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_async_with,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_async_with_invalid,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_dict_unpacking,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_raise_3x_style,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_set_literal_1,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_set_literal_2,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_set_literal_3,14,1
parso,test_pgen2.py,CC0016.1,type-2,test_set_literal_4,14,1
parso,test_pgen2.py,CC0016.2,type-2,test_old_octal_notation,4,1
parso,test_pgen2.py,CC0016.2,type-2,test_py2_backticks,4,1
parso,test_pgen2.py,CC0016.2,type-2,test_raise_2x_style_2,4,1
parso,test_pgen2.py,CC0016.2,type-2,test_raise_2x_style_3,4,1
parso,test_pgen2.py,CC0017,type-2,test_annotation_6,7,1
parso,test_pgen2.py,CC0017,type-2,test_annotation_7,7,1
parso,test_pgen2.py,CC0017,type-2,test_raise_3x_style_1,7,1
parso,test_pgen2.py,CC0017,type-2,test_raise_3x_style_invalid_1,7,1
parso,test_pgen2.py,CC0017,type-2,test_raise_3x_style_invalid_2,7,1
parso,test_pgen2.py,CC0017,type-2,test_raise_3x_style_invalid_3,7,1
parso,test_pgen2.py,CC0017,type-2,test_raise_3x_style_invalid_4,7,1
parso,test_pgen2.py,CC0018,type-2,test_annotation_8,4,1
parso,test_pgen2.py,CC0018,type-2,test_multiline_bytes_literals,4,1
parso,test_pgen2.py,CC0018,type-2,test_multiline_bytes_tripquote_literals,4,1
parso,test_pgen2.py,CC0018,type-2,test_multiline_str_literals,4,1
parso,test_pgen2.py,CC0019,type-2,test_new_binary_notation,2,1
parso,test_pgen2.py,CC0019,type-2,test_new_octal_notation,2,1
requests,test_requests.py,CC0003,type-2,TestRequests.test_http_301_changes_post_to_get,3,1
requests,test_requests.py,CC0003,type-2,TestRequests.test_http_302_changes_post_to_get,3,1
requests,test_requests.py,CC0003,type-2,TestRequests.test_http_303_changes_post_to_get,3,1
requests,test_requests.py,CC0004,type-2,TestRequests.test_http_302_doesnt_change_head_to_get,2,1
requests,test_requests.py,CC0004,type-2,TestRequests.test_http_303_doesnt_change_head_to_get,2,1
requests,test_requests.py,CC0010,type-2,TestRequests.test_header_no_leading_space,2,1
requests,test_requests.py,CC0010,type-2,TestRequests.test_header_no_return_chars,2,1
requests,test_requests.py,CC0011,type-2,TestRequests.test_should_strip_auth_host_change,2,1
requests,test_requests.py,CC0011,type-2,TestRequests.test_should_strip_auth_port_change,2,1
requests,test_requests.py,CC0015,type-2,TestRequests.test_proxy_auth,2,1
requests,test_requests.py,CC0015,type-2,TestRequests.test_proxy_auth_empty_pass,2,1
