,repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou
32,astroid,test_protocols.py,CC0011,Type-2,ProtocolTests.test_uninferable_list_multiplication,2,YES
33,astroid,test_protocols.py,CC0011,Type-2,ProtocolTests.test_uninferable_list_multiplication_with_multiple_operands,2,YES
34,astroid,test_protocols.py,CC0012,Type-2,ProtocolTests.test_list_multiplication_with_empty_list_and_overflowing_multiplier,3,YES
35,astroid,test_protocols.py,CC0012,Type-2,ProtocolTests.test_list_multiplication_with_zero_multiplier,3,YES
36,astroid,test_protocols.py,CC0012,Type-2,ProtocolTests.test_list_multiplication_with_negative_overflowing_multiplier,3,YES
37,astroid,test_protocols.py,CC0013,Type-2,TestGenericTypeSyntax.test_assigned_stmts_type_var,3,YES
38,astroid,test_protocols.py,CC0013,Type-2,TestGenericTypeSyntax.test_assigned_stmts_type_var_tuple,3,YES
39,astroid,test_protocols.py,CC0013,Type-2,TestGenericTypeSyntax.test_assigned_stmts_param_spec,3,YES
40,astroid,test_nodes_position.py,CC0014,Type-2,TestNodePosition.test_position_function,2,YES
41,astroid,test_nodes_position.py,CC0014,Type-2,TestNodePosition.test_position_async_function,2,YES
42,astroid,test_type_params.py,CC0015,Type-2,test_type_param_spec,2,YES
43,astroid,test_type_params.py,CC0015,Type-2,test_type_var_tuple,2,YES
44,astroid,test_inference_calls.py,CC0016,Type-2,test_no_return,8,YES
45,astroid,test_inference_calls.py,CC0016,Type-2,test_inner_call_with_dynamic_argument,8,YES
46,astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_1,8,YES
47,astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_3,8,YES
48,astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_4,8,YES
49,astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_5,8,YES
50,astroid,test_inference_calls.py,CC0016,Type-2,test_method_dynamic_instance_attr_6,8,YES
51,astroid,test_inference_calls.py,CC0016,Type-2,test_dunder_getitem,8,YES
52,astroid,test_inference_calls.py,CC0017,Type-2,test_one_return,8,YES
53,astroid,test_inference_calls.py,CC0017,Type-2,test_one_return_possible,8,YES
54,astroid,test_inference_calls.py,CC0017,Type-2,test_argument,8,YES
55,astroid,test_inference_calls.py,CC0017,Type-2,test_inner_call,8,YES
56,astroid,test_inference_calls.py,CC0017,Type-2,test_inner_call_with_const_argument,8,YES
57,astroid,test_inference_calls.py,CC0017,Type-2,test_method_const_instance_attr,8,YES
58,astroid,test_inference_calls.py,CC0017,Type-2,test_method_dynamic_instance_attr_2,8,YES
59,astroid,test_inference_calls.py,CC0017,Type-2,test_chained_attribute_inherited,8,YES
60,astroid,test_inference_calls.py,CC0018,Type-2,test_multiple_returns,3,YES
61,astroid,test_inference_calls.py,CC0018,Type-2,test_method_const_instance_attr_multiple,3,YES
62,astroid,test_inference_calls.py,CC0018,Type-2,test_method_const_instance_attr_same_method,3,YES
63,astroid,test_inference_calls.py,CC0019,Type-2,test_class_method,2,YES
64,astroid,test_inference_calls.py,CC0019,Type-2,test_static_method,2,YES
65,astroid,test_inference_calls.py,CC0020,Type-2,test_instance_method_inherited,2,YES
66,astroid,test_inference_calls.py,CC0020,Type-2,test_class_method_inherited,2,YES
67,astroid,test_utils.py,CC0021,Type-2,InferenceUtil.test_not_exclusive_walrus_operator,2,YES
68,astroid,test_utils.py,CC0021,Type-2,InferenceUtil.test_not_exclusive_walrus_operator_nested,2,YES
69,astroid,test_regrtest.py,CC0022,Type-2,NonRegressionTests.test_recursive_property_method,2,YES
70,astroid,test_regrtest.py,CC0022,Type-2,NonRegressionTests.test_uninferable_string_argument_of_namedtuple,2,YES
71,astroid,test_manager.py,CC0023,Type-2,AstroidManagerTest.test_ast_from_file_name_astro_builder_exception,3,YES
72,astroid,test_manager.py,CC0023,Type-2,AstroidManagerTest.test_ast_from_module_name_astro_builder_exception,3,YES
73,astroid,test_manager.py,CC0023,Type-2,AstroidManagerTest.test_ast_from_class_attr_error,3,YES
74,astroid,test_manager.py,CC0024,Type-2,AstroidManagerTest.test_ast_from_namespace_pkgutil,2,YES
75,astroid,test_manager.py,CC0024,Type-2,AstroidManagerTest.test_ast_from_namespace_pkg_resources,2,YES
76,astroid,test_manager.py,CC0025,Type-2,AstroidManagerTest.test_ast_from_module_name_egg,2,YES
77,astroid,test_manager.py,CC0025,Type-2,AstroidManagerTest.test_ast_from_module_name_zip,2,YES
78,astroid,test_raw_building.py,CC0026,Type-2,RawBuildingTC.test_build_class,2,YES
79,astroid,test_raw_building.py,CC0026,Type-2,RawBuildingTC.test_build_function,2,YES
80,astroid,test_raw_building.py,CC0027,Type-2,RawBuildingTC.test_module_object_with_broken_getattr,2,YES
81,astroid,test_raw_building.py,CC0027,Type-2,RawBuildingTC.test_module_collection_with_object_getattribute,2,YES
82,astroid,test_scoped_nodes.py,CC0028,Type-2,ModuleNodeTest.test_singleline_docstring,3,YES
83,astroid,test_scoped_nodes.py,CC0028,Type-2,ModuleNodeTest.test_multiline_docstring,3,YES
84,astroid,test_scoped_nodes.py,CC0028,Type-2,ModuleNodeTest.test_comment_before_docstring,3,YES
85,astroid,test_scoped_nodes.py,CC0029,Type-2,FunctionNodeTest.test_singleline_docstring,3,YES
86,astroid,test_scoped_nodes.py,CC0029,Type-2,FunctionNodeTest.test_multiline_docstring,3,YES
87,astroid,test_scoped_nodes.py,CC0029,Type-2,FunctionNodeTest.test_multiline_docstring_async,3,YES
88,astroid,test_scoped_nodes.py,CC0030,Type-2,ClassNodeTest.test_singleline_docstring,2,YES
89,astroid,test_scoped_nodes.py,CC0030,Type-2,ClassNodeTest.test_multiline_docstring,2,YES
90,astroid,test_scoped_nodes.py,CC0031,Type-2,test_property_in_body_of_try,2,YES
91,astroid,test_scoped_nodes.py,CC0031,Type-2,test_property_in_body_of_if,2,YES
92,astroid,test_scoped_nodes.py,CC0032,Type-2,test_issue940_metaclass_subclass_property,3,YES
93,astroid,test_scoped_nodes.py,CC0032,Type-2,test_issue940_property_grandchild,3,YES
94,astroid,test_scoped_nodes.py,CC0032,Type-2,test_issue940_metaclass_property,3,YES
95,astroid,test_scoped_nodes.py,CC0033,Type-2,test_issue940_metaclass_values_funcdef,2,YES
96,astroid,test_scoped_nodes.py,CC0033,Type-2,test_issue940_metaclass_derived_funcdef,2,YES
97,astroid,test_object_model.py,CC0034,Type-2,FunctionModelTest.test_empty_return_annotation,2,YES
98,astroid,test_object_model.py,CC0034,Type-2,FunctionModelTest.test_builtin_dunder_init_does_not_crash_when_accessing_annotations,2,YES
99,astroid,test_modutils.py,CC0035,Type-2,ModuleFileTest.test_find_zipped_module,2,YES
100,astroid,test_modutils.py,CC0035,Type-2,ModuleFileTest.test_find_egg_module,2,YES
101,astroid,test_modutils.py,CC0036,Type-2,LoadModuleFromNameTest.test_known_values_load_module_from_name_1,2,YES
102,astroid,test_modutils.py,CC0036,Type-2,LoadModuleFromNameTest.test_known_values_load_module_from_name_2,2,YES
103,astroid,test_modutils.py,CC0037,Type-2,GetModulePartTest.test_known_values_get_module_part_1,2,YES
104,astroid,test_modutils.py,CC0037,Type-2,GetModulePartTest.test_known_values_get_module_part_2,2,YES
105,astroid,test_modutils.py,CC0038,Type-2,GetModulePartTest.test_known_values_get_compiled_module_part,2,YES
106,astroid,test_modutils.py,CC0038,Type-2,GetModulePartTest.test_known_values_get_builtin_module_part,2,YES
107,astroid,test_modutils.py,CC0039,Type-2,GetModuleFilesTest.test_get_module_files_1,2,YES
108,astroid,test_modutils.py,CC0039,Type-2,GetModuleFilesTest.test_get_module_files_2,2,YES
109,astroid,test_modutils.py,CC0040,Type-2,IsStandardModuleTest.test_nonstandard,2,YES
110,astroid,test_modutils.py,CC0040,Type-2,IsStandardModuleTest.test_unknown,2,YES
111,astroid,test_modutils.py,CC0041,Type-2,IsStdLibModuleTest.test_nonstandard,2,YES
112,astroid,test_modutils.py,CC0041,Type-2,IsStdLibModuleTest.test_unknown,2,YES
113,astroid,test_modutils.py,CC0042,Type-2,ModuleInPathTest.test_bad_import,2,YES
114,astroid,test_modutils.py,CC0042,Type-2,ModuleInPathTest.test_no_filename,2,YES
115,astroid,test_modutils.py,CC0043,Type-2,IsRelativeTest.test_known_values_is_relative_1,5,YES
116,astroid,test_modutils.py,CC0043,Type-2,IsRelativeTest.test_known_values_is_relative_4,5,YES
117,astroid,test_modutils.py,CC0043,Type-2,IsRelativeTest.test_deep_relative,5,YES
118,astroid,test_modutils.py,CC0043,Type-2,IsRelativeTest.test_deep_relative3,5,YES
119,astroid,test_modutils.py,CC0043,Type-2,IsRelativeTest.test_deep_relative4,5,YES
120,astroid,test_modutils.py,CC0044,Type-2,IsRelativeTest.test_known_values_is_relative_3,4,YES
121,astroid,test_modutils.py,CC0044,Type-2,IsRelativeTest.test_known_values_is_relative_5,4,YES
122,astroid,test_modutils.py,CC0044,Type-2,IsRelativeTest.test_deep_relative2,4,YES
123,astroid,test_modutils.py,CC0044,Type-2,IsRelativeTest.test_is_relative_bad_path,4,YES
124,astroid,test_helpers.py,CC0045,Type-2,TestHelpers.test_inference_errors,2,YES
125,astroid,test_helpers.py,CC0045,Type-2,TestHelpers.test_object_type_too_many_types,2,YES
126,astroid,test_get_relative_base_path.py,CC0046,Type-2,TestModUtilsRelativePath.test_similar_prefixes_no_match,6,YES
127,astroid,test_get_relative_base_path.py,CC0046,Type-2,TestModUtilsRelativePath.test_valid_subdirectories,6,YES
128,astroid,test_get_relative_base_path.py,CC0046,Type-2,TestModUtilsRelativePath.test_case_sensitivity,6,YES
129,astroid,test_get_relative_base_path.py,CC0046,Type-2,TestModUtilsRelativePath.test_special_path_components,6,YES
130,astroid,test_get_relative_base_path.py,CC0046,Type-2,TestModUtilsRelativePath.test_nonexistent_paths,6,YES
131,astroid,test_get_relative_base_path.py,CC0046,Type-2,TestModUtilsRelativePath.test_empty_paths,6,YES
132,astroid,test_lookup.py,CC0047,Type-2,LookupTest.test_list_comp_target,2,YES
133,astroid,test_lookup.py,CC0047,Type-2,LookupTest.test_set_comp_closure,2,YES
134,astroid,test_lookup.py,CC0048,Type-2,LookupTest.test_lambda_nested,2,YES
135,astroid,test_lookup.py,CC0048,Type-2,LookupTest.test_function_nested,2,YES
136,astroid,test_lookup.py,CC0049,Type-2,LookupTest.test_list_comp_nested,2,YES
137,astroid,test_lookup.py,CC0049,Type-2,LookupTest.test_set_comp_nested,2,YES
138,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_consecutive_assign,10,YES
139,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_del_no_effect_after,10,YES
140,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_assign_exclusive,10,YES
141,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_assign_not_exclusive,10,YES
142,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_del_exclusive,10,YES
143,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_except_var_in_block,10,YES
144,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_except_var_in_block_overwrites,10,YES
145,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_except_assign_in_block,10,YES
146,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_except_assign_in_block_multiple,10,YES
147,astroid,test_lookup.py,CC0050,Type-2,LookupControlFlowTest.test_except_assign_after_block_overwritten,10,YES
148,astroid,test_lookup.py,CC0051,Type-2,LookupControlFlowTest.test_assign_after_use,4,YES
149,astroid,test_lookup.py,CC0051,Type-2,LookupControlFlowTest.test_del_removes_prior,4,YES
150,astroid,test_lookup.py,CC0051,Type-2,LookupControlFlowTest.test_except_var_after_block_single,4,YES
151,astroid,test_lookup.py,CC0051,Type-2,LookupControlFlowTest.test_except_var_after_block_multiple,4,YES
152,astroid,test_lookup.py,CC0052,Type-2,LookupControlFlowTest.test_assign_after_param,3,YES
153,astroid,test_lookup.py,CC0052,Type-2,LookupControlFlowTest.test_assign_after_kwonly_param,3,YES
154,astroid,test_lookup.py,CC0052,Type-2,LookupControlFlowTest.test_assign_after_posonly_param,3,YES
155,astroid,test_lookup.py,CC0053,Type-2,LookupControlFlowTest.test_if_assign,5,YES
156,astroid,test_lookup.py,CC0053,Type-2,LookupControlFlowTest.test_if_assigns_same_branch,5,YES
157,astroid,test_lookup.py,CC0053,Type-2,LookupControlFlowTest.test_if_assigns_different_branch,5,YES
158,astroid,test_lookup.py,CC0053,Type-2,LookupControlFlowTest.test_if_else,5,YES
159,astroid,test_lookup.py,CC0053,Type-2,LookupControlFlowTest.test_except_assign_after_block,5,YES
160,astroid,test_constraint.py,CC0054,Type-2,test_if_single_statement,5,YES
161,astroid,test_constraint.py,CC0054,Type-2,test_if_multiple_statements,5,YES
162,astroid,test_constraint.py,CC0054,Type-2,test_nested_if,5,YES
163,astroid,test_constraint.py,CC0054,Type-2,test_if_instance_attr,5,YES
164,astroid,test_constraint.py,CC0054,Type-2,test_if_instance_attr_varname_collision1,5,YES
165,astroid,test_constraint.py,CC0055,Type-2,test_if_irrelevant_condition,2,YES
166,astroid,test_constraint.py,CC0055,Type-2,test_outside_if,2,YES
167,astroid,test_constraint.py,CC0056,Type-2,test_if_reassignment_in_body,3,YES
168,astroid,test_constraint.py,CC0056,Type-2,test_if_reassignment_in_else,3,YES
169,astroid,test_constraint.py,CC0056,Type-2,test_if_instance_attr_varname_collision4,3,YES
170,astroid,test_constraint.py,CC0057,Type-2,test_if_function_call,2,YES
171,astroid,test_constraint.py,CC0057,Type-2,test_if_instance_attr_varname_collision3,2,YES
172,astroid,test_builder.py,CC0058,Type-2,FromToLineNoTest.test_try_finally_lineno,2,YES
173,astroid,test_builder.py,CC0058,Type-2,FromToLineNoTest.test_try_finally_25_lineno,2,YES
174,astroid,test_builder.py,CC0059,Type-2,BuilderTest.test_no_future_imports,3,YES
175,astroid,test_builder.py,CC0059,Type-2,BuilderTest.test_future_imports,3,YES
176,astroid,test_builder.py,CC0059,Type-2,BuilderTest.test_two_future_imports,3,YES
177,astroid,test_builder.py,CC0060,Type-2,BuilderTest.test_data_build_null_bytes,2,YES
178,astroid,test_builder.py,CC0060,Type-2,BuilderTest.test_data_build_invalid_x_escape,2,YES
179,astroid,test_python3.py,CC0061,Type-2,Python3TC.test_simple_metaclass,3,YES
180,astroid,test_python3.py,CC0061,Type-2,Python3TC.test_metaclass_imported,3,YES
181,astroid,test_python3.py,CC0061,Type-2,Python3TC.test_metaclass_multiple_keywords,3,YES
182,astroid,test_python3.py,CC0062,Type-2,Python3TC.test_nested_unpacking_in_dicts,2,YES
183,astroid,test_python3.py,CC0062,Type-2,Python3TC.test_format_string,2,YES
184,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_none,7,YES
185,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_bool,7,YES
186,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_int,7,YES
187,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_float,7,YES
188,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_complex,7,YES
189,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_str,7,YES
190,astroid,test_nodes.py,CC0063,Type-2,ConstNodeTest.test_unicode,7,YES
191,astroid,test_nodes.py,CC0064,Type-2,BoundMethodNodeTest.test_is_standard_property,3,YES
192,astroid,test_nodes.py,CC0064,Type-2,BoundMethodNodeTest.test_is_possible_property,3,YES
193,astroid,test_nodes.py,CC0064,Type-2,BoundMethodNodeTest.test_is_standard_property_subclass,3,YES
194,astroid,test_nodes.py,CC0065,Type-2,BoundMethodNodeTest.test_is_standard_property_py311,2,YES
195,astroid,test_nodes.py,CC0065,Type-2,BoundMethodNodeTest.test_is_standard_property_subclass_py311,2,YES
196,astroid,test_nodes.py,CC0066,Type-2,Python35AsyncTest.test_await_as_string,4,YES
197,astroid,test_nodes.py,CC0066,Type-2,Python35AsyncTest.test_asyncwith_as_string,4,YES
198,astroid,test_nodes.py,CC0066,Type-2,Python35AsyncTest.test_asyncfor_as_string,4,YES
199,astroid,test_nodes.py,CC0066,Type-2,Python35AsyncTest.test_decorated_async_def_as_string,4,YES
200,astroid,test_nodes.py,CC0067,Type-2,ImportNodeTest.test_conditional,2,YES
201,astroid,test_nodes.py,CC0067,Type-2,ImportNodeTest.test_conditional_import,2,YES
202,astroid,test_nodes.py,CC0068,Type-2,ContextTest.test_subscript_load,3,YES
203,astroid,test_nodes.py,CC0068,Type-2,ContextTest.test_list_load,3,YES
204,astroid,test_nodes.py,CC0068,Type-2,ContextTest.test_tuple_load,3,YES
205,astroid,test_nodes.py,CC0069,Type-2,ContextTest.test_subscript_del,2,YES
206,astroid,test_nodes.py,CC0069,Type-2,ContextTest.test_list_del,2,YES
207,astroid,test_nodes.py,CC0070,Type-2,ContextTest.test_list_store,2,YES
208,astroid,test_nodes.py,CC0070,Type-2,ContextTest.test_tuple_store,2,YES
209,astroid,test_nodes.py,CC0071,Type-2,test_is_generator_for_yield_in_while,3,YES
210,astroid,test_nodes.py,CC0071,Type-2,test_is_generator_for_yield_in_if,3,YES
211,astroid,test_nodes.py,CC0071,Type-2,test_is_generator_for_yield_in_aug_assign,3,YES
212,astroid,test_nodes.py,CC0072,Type-2,AsStringTypeParamNodes.test_as_string_type_var,3,YES
213,astroid,test_nodes.py,CC0072,Type-2,AsStringTypeParamNodes.test_as_string_type_var_tuple,3,YES
214,astroid,test_nodes.py,CC0072,Type-2,AsStringTypeParamNodes.test_as_string_param_spec,3,YES
215,astroid,test_nodes.py,CC0073,Type-2,AsStringTypeParamNodes.test_as_string_type_var_default,3,YES
216,astroid,test_nodes.py,CC0073,Type-2,AsStringTypeParamNodes.test_as_string_type_var_tuple_defaults,3,YES
217,astroid,test_nodes.py,CC0073,Type-2,AsStringTypeParamNodes.test_as_string_param_spec_defaults,3,YES
218,astroid,test_nodes.py,CC0074,Type-2,AsStringTypeParamNodes.test_as_string_class_type_params,2,YES
219,astroid,test_nodes.py,CC0074,Type-2,AsStringTypeParamNodes.test_as_string_function_type_params,2,YES
220,astroid,test_nodes.py,CC0075,Type-2,test_type_comments_for,2,YES
221,astroid,test_nodes.py,CC0075,Type-2,test_type_coments_assign,2,YES
222,astroid,test_nodes.py,CC0076,Type-2,AsStringTest.test_ellipsis,2,YES
223,astroid,test_nodes.py,CC0076,Type-2,AsStringTest.test_varargs_kwargs_as_string,2,YES
224,astroid,test_brain.py,CC0077,Type-2,CollectionsDequeTests.test_deque,2,YES
225,astroid,test_brain.py,CC0077,Type-2,CollectionsDequeTests.test_deque_py39methods,2,YES
226,astroid,test_brain.py,CC0078,Type-2,TypingBrain.test_tuple_type,2,YES
227,astroid,test_brain.py,CC0078,Type-2,TypingBrain.test_callable_type,2,YES
228,astroid,test_brain.py,CC0079,Type-2,TypingBrain.test_typing_no_duplicates,2,YES
229,astroid,test_brain.py,CC0079,Type-2,TypingBrain.test_typing_no_duplicates_2,2,YES
230,astroid,test_brain.py,CC0080,Type-2,TypingBrain.test_typing_cast,2,YES
231,astroid,test_brain.py,CC0080,Type-2,TypingBrain.test_typing_cast_attribute,2,YES
232,astroid,test_brain.py,CC0081,Type-2,TypingBrain.test_typing_alias_type,2,YES
233,astroid,test_brain.py,CC0081,Type-2,TypingBrain.test_typing_alias_type_2,2,YES
234,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_type_type,16,YES
235,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_object_type,16,YES
236,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_type_object,16,YES
237,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_int_true,16,YES
238,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_int_false,16,YES
239,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_object_true,16,YES
240,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_object_true3,16,YES
241,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_class_false,16,YES
242,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_type_false,16,YES
243,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_str_true,16,YES
244,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_str_false,16,YES
245,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_tuple_argument,16,YES
246,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_type_false2,16,YES
247,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_object_true2,16,YES
248,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_type_true,16,YES
249,astroid,test_brain.py,CC0082,Type-2,TestIsinstanceInference.test_isinstance_edge_case,16,YES
250,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_type_type,12,YES
251,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_object_type,12,YES
252,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_type_object,12,YES
253,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_same_class,12,YES
254,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_not_the_same_class,12,YES
255,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_object_true,12,YES
256,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_same_user_defined_class,12,YES
257,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_different_user_defined_classes,12,YES
258,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_type_false,12,YES
259,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_isinstance_tuple_argument,12,YES
260,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_isinstance_object_true2,12,YES
261,astroid,test_brain.py,CC0083,Type-2,TestIssubclassBrain.test_issubclass_short_circuit,12,YES
262,astroid,test_brain.py,CC0084,Type-2,TestIssubclassBrain.test_uninferable_bad_type,3,YES
263,astroid,test_brain.py,CC0084,Type-2,TestIssubclassBrain.test_uninferable_keywords,3,YES
264,astroid,test_brain.py,CC0084,Type-2,TestIssubclassBrain.test_too_many_args,3,YES
265,astroid,test_brain.py,CC0085,Type-2,TestLenBuiltinInference.test_len_string,3,YES
266,astroid,test_brain.py,CC0085,Type-2,TestLenBuiltinInference.test_len_bytes,3,YES
267,astroid,test_brain.py,CC0085,Type-2,TestLenBuiltinInference.test_int_subclass_result,3,YES
268,astroid,test_brain.py,CC0086,Type-2,TestLenBuiltinInference.test_len_tuple,5,YES
269,astroid,test_brain.py,CC0086,Type-2,TestLenBuiltinInference.test_len_var,5,YES
270,astroid,test_brain.py,CC0086,Type-2,TestLenBuiltinInference.test_len_dict,5,YES
271,astroid,test_brain.py,CC0086,Type-2,TestLenBuiltinInference.test_len_set,5,YES
272,astroid,test_brain.py,CC0086,Type-2,TestLenBuiltinInference.test_len_object,5,YES
273,astroid,test_threading.py,CC0087,Type-2,ThreadingBrainTest.test_rlock,3,YES
274,astroid,test_threading.py,CC0087,Type-2,ThreadingBrainTest.test_semaphore,3,YES
275,astroid,test_threading.py,CC0087,Type-2,ThreadingBrainTest.test_boundedsemaphore,3,YES
276,astroid,test_dataclasses.py,CC0088,Type-2,test_inference_non_field_default,2,YES
277,astroid,test_dataclasses.py,CC0088,Type-2,test_inference_field_default,2,YES
278,astroid,test_dataclasses.py,CC0089,Type-2,test_inference_no_annotation,3,YES
279,astroid,test_dataclasses.py,CC0089,Type-2,test_inference_class_var,3,YES
280,astroid,test_dataclasses.py,CC0089,Type-2,test_inference_init_var,3,YES
281,astroid,test_dataclasses.py,CC0090,Type-2,test_init_no_defaults,5,YES
282,astroid,test_dataclasses.py,CC0090,Type-2,test_init_initvar,5,YES
283,astroid,test_dataclasses.py,CC0090,Type-2,test_init_field_init_false,5,YES
284,astroid,test_dataclasses.py,CC0090,Type-2,test_init_override,5,YES
285,astroid,test_dataclasses.py,CC0090,Type-2,test_init_attributes_from_superclasses,5,YES
286,astroid,test_dataclasses.py,CC0091,Type-2,test_init_decorator_init_false,2,YES
287,astroid,test_dataclasses.py,CC0091,Type-2,test_invalid_init,2,YES
288,astroid,test_named_tuple.py,CC0092,Type-2,test_namedtuple_uninferable_fields,9,YES
289,astroid,test_named_tuple.py,CC0092,Type-2,test_no_rename_duplicates_does_not_crash_inference,9,YES
290,astroid,test_named_tuple.py,CC0092,Type-2,test_no_rename_keywords_does_not_crash_inference,9,YES
